iter	Passed	Remaining
745	104235	175215
746	104389	175100
747	104569	175028
748	104580	174673
749	104586	174311
750	104717	174157
751	104851	174009
752	104983	173857
753	105136	173740
754	105291	173625
755	105434	173493
756	105538	173295
757	105672	173147
758	105818	173018
759	105973	172904
760	106131	172795
761	106271	172655
762	106281	172306
763	106374	172093
764	106538	171993
765	106636	171788
766	106790	171672
767	106802	171328
768	106990	171267
769	107155	171170
770	107376	171161
771	107552	171081
772	107734	171008
773	107971	171024
774	108131	170918
775	108349	170901
776	108517	170806
777	108724	170773
778	108954	170774
779	108997	170482
780	109187	170421
781	109387	170376
782	109563	170292
783	109725	170185
784	109736	169846
785	109881	169714
786	110025	169581
787	110196	169490
788	110264	169239
789	110416	169118
790	110435	168793
791	110441	168451
792	110525	168227
793	110662	168084
794	110745	167859
795	110753	167521
796	110927	167434
797	110936	167099
798	111035	166900
799	111180	166770
800	111192	166442
801	111342	166318
802	111351	165987
803	111500	165863
804	111659	165755
805	111807	165630
806	111817	165302
807	111879	165049
808	112040	164944
809	112199	164836
810	112328	164683
811	112482	164568
812	112626	164437
813	112777	164317
814	113011	164316
815	113190	164236
816	113347	164125
817	113558	164090
818	113705	163963
819	113859	163846
820	113979	163681
821	114138	163571
822	114156	163259
823	114304	163133
824	114311	162807
825	114573	162843
826	114763	162778
827	114951	162708
828	115138	162638
829	115317	162555
830	115516	162501
831	115541	162201
832	115752	162164
833	115768	161853
834	115777	161533
835	115934	161420
836	116044	161242
837	116162	161075
838	116170	160754
839	116340	160660
840	116500	160551
841	116693	160488
842	116870	160402
843	117031	160294
844	117230	160238
845	117410	160155
846	117574	160051
847	117750	159962
848	117761	159650
849	117950	159579
850	118141	159511
851	118153	159201
852	118346	159136
853	118610	159165
854	118629	158866
855	118805	158777
856	118996	158708
857	119199	158654
858	119294	158458
859	119303	158147
860	119456	158026
861	119603	157898
862	119746	157765
863	119945	157705
864	119978	157428
865	120190	157385
866	120214	157096
867	120235	156804
868	120426	156734
869	120603	156646
870	120615	156342
871	120747	156195
872	120913	156092
873	121073	155982
874	121225	155861
875	121383	155747
876	121538	155630
877	121682	155498
878	121691	155194
879	121855	155088
880	121933	154873
881	122078	154742
882	122239	154633
883	122390	154511
884	122542	154389
885	122687	154260
886	122800	154089
887	122959	153975
888	123086	153823
889	123235	153698
890	123394	153584
891	123476	153377
892	123615	153238
893	123750	153096
894	123894	152964
895	123998	152783
896	124410	152981
897	124598	152903
898	124793	152834
899	124810	152546
900	124994	152462
901	125146	152340
902	125217	152119
903	125370	151997
904	125554	151914
905	125786	151888
906	125978	151813
907	126194	151767
908	126361	151661
909	126512	151537
910	126661	151409
911	126814	151287
912	126971	151169
913	127105	151024
914	127261	150905
915	127406	150773
916	127553	150643
917	127706	150520
918	127753	150273
919	127909	150154
920	128081	150054
921	128249	149948
922	128423	149851
923	128434	149562
924	128574	149424
925	128581	149132
926	128598	148852
927	128737	148713
928	128884	148585
929	128896	148300
930	129028	148154
931	129184	148035
932	129342	147919
933	129483	147783
934	129643	147669
935	129653	147383
936	129813	147270
937	130022	147211
938	130206	147123
939	130366	147009
940	130561	146933
941	130577	146656
942	130734	146539
943	130887	146416
944	131038	146291
945	131255	146240
946	131447	146160
947	131459	145881
948	131553	145692
949	131705	145569
950	131869	145458
951	132004	145315
952	132188	145227
953	132353	145117
954	132522	145011
955	132657	144868
956	132751	144681
957	132895	144547
958	132903	144267
959	133078	144168
960	133235	144049
961	133395	143934
962	133594	143859
963	133800	143793
964	133963	143681
965	134122	143564
966	134322	143490
967	134532	143427
968	134719	143339
969	134731	143065
970	134953	143014
971	135148	142934
972	135322	142833
973	135521	142757
974	135773	142736
975	135923	142608
976	136027	142432
977	136291	142423
978	136302	142150
979	136494	142065
980	136668	141962
981	136679	141690
982	136933	141669
983	137129	141588
984	137298	141480
985	137314	141213
986	137325	140942
987	137520	140860
988	137712	140775
989	137919	140705
990	138098	140607
991	138112	140339
992	138295	140245
993	138473	140145
994	138655	140048
995	138840	139955
996	138851	139687
997	139028	139585
998	139149	139428
999	139298	139298
1000	139460	139182
1001	139642	139085
1002	139821	138985
1003	140024	138908
1004	140177	138782
1005	140197	138525
1006	140355	138403
1007	140399	138171
1008	140416	137911
1009	140553	137770
1010	140701	137639
1011	140890	137549
1012	141079	137458
1013	141376	137472
1014	141403	137223
1015	141650	137188
1016	141855	137113
1017	142084	137059
1018	142201	136898
1019	142359	136777
1020	142618	136751
1021	142633	136492
1022	142811	136389
1023	142819	136124
1024	143011	136035
1025	143191	135934
1026	143387	135847
1027	143545	135725
1028	143706	135606
1029	143835	135456
1030	143999	135339
1031	144007	135076
1032	144160	134950
1033	144309	134818
1034	144317	134557
1035	144445	134406
1036	144454	134146
1037	144586	134000
1038	144739	133873
1039	144894	133748
1040	144904	133489
1041	145013	133323
1042	145180	133209
1043	145350	133099
1044	145518	132986
1045	145571	132768
1046	145691	132610
1047	145857	132496
1048	146034	132391
1049	146150	132231
1050	146299	132101
1051	146479	131998
1052	146650	131888
1053	146781	131741
1054	146928	131609
1055	147154	131547
1056	147326	131437
1057	147524	131349
1058	147721	131261
1059	147878	131137
1060	148061	131036
1061	148074	130785
1062	148287	130710
1063	148469	130608
1064	148639	130495
1065	148793	130368
1066	148848	130155
1067	148856	129901
1068	149035	129796
1069	149199	129678
1070	149350	129549
1071	149534	129447
1072	149544	129196
1073	149552	128943
1074	149690	128803
1075	149831	128665
1076	150019	128568
1077	150172	128440
1078	150332	128318
1079	150480	128186
1080	150635	128060
1081	150806	127948
1082	150968	127828
1083	151129	127706
1084	151189	127500
1085	151342	127373
1086	151540	127282
1087	151722	127179
1088	151859	127037
1089	151941	126850
1090	151948	126600
1091	151955	126351
1092	151971	126109
1093	152124	125982
1094	152301	125874
1095	152474	125763
1096	152700	125695
1097	152898	125605
1098	153049	125475
1099	153057	125229
1100	153252	125135
1101	153280	124905
1102	153443	124785
1103	153636	124690
1104	153868	124626
1105	154022	124499
1106	154098	124308
1107	154245	124176
1108	154427	124070
1109	154579	123942
1110	154764	123839
1111	154920	123713
1112	155069	123581
1113	155136	123385
1114	155305	123269
1115	155465	123146
1116	155616	123016
1117	155776	122893
1118	155923	122759
1119	156075	122630
1120	156249	122518
1121	156375	122368
1122	156559	122263
1123	156711	122134
1124	156721	121894
1125	156860	121754
1126	157001	121617
1127	157163	121495
1128	157174	121256
1129	157320	121123
1130	157385	120926
1131	157537	120797
1132	157630	120622
1133	157789	120499
1134	157801	120262
1135	157951	120132
1136	158124	120018
1137	158317	119920
1138	158341	119694
1139	158564	119618
1140	158728	119498
1141	158931	119407
1142	159094	119285
1143	159285	119185
1144	159440	119058
1145	159594	118929
1146	159784	118828
1147	159944	118704
1148	160137	118604
1149	160327	118503
1150	160487	118378
1151	160646	118253
